,2023-07-31,2023-04-30,2023-01-31
OrdinarySharesNumber,78154280.0,68944323.0,67700989.0
ShareIssued,78154280.0,68944323.0,67700989.0
TangibleBookValue,5220433.0,4436720.0,4542078.0
InvestedCapital,5220433.0,4436720.0,4542078.0
WorkingCapital,996065.0,748351.0,1121748.0
NetTangibleAssets,5220433.0,4436720.0,4542078.0
CommonStockEquity,5220433.0,4436720.0,4542078.0
TotalCapitalization,5220433.0,4436720.0,4542078.0
TotalEquityGrossMinorityInterest,7386180.0,6611605.0,6612606.0
MinorityInterest,2165747.0,2174885.0,2070528.0
StockholdersEquity,5220433.0,4436720.0,4542078.0
GainsLossesNotAffectingRetainedEarnings,-167253.0,-164371.0,-299253.0
OtherEquityAdjustments,-167253.0,-164371.0,-299253.0
RetainedEarnings,-15090425.0,-14860033.0,-14440162.0
AdditionalPaidInCapital,3113379.0,3108269.0,3129878.0
CapitalStock,17364732.0,16352855.0,16151615.0
CommonStock,17364732.0,16352855.0,16151615.0
TotalLiabilitiesNetMinorityInterest,365300.0,353078.0,108479.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,0.0,0.0
CurrentLiabilities,365300.0,353078.0,108479.0
PayablesAndAccruedExpenses,365300.0,353078.0,108479.0
Payables,,353078.0,108479.0
DuetoRelatedPartiesCurrent,,62726.0,13662.0
AccountsPayable,,290352.0,94817.0
TotalAssets,7751480.0,6964683.0,6721085.0
TotalNonCurrentAssets,6390115.0,5863254.0,5490858.0
NonCurrentPrepaidAssets,121064.0,121064.0,122057.0
NetPPE,6269051.0,5742190.0,5368801.0
CurrentAssets,1361365.0,1101429.0,1230227.0
PrepaidAssets,49191.0,16900.0,23646.0
Receivables,7586.0,12001.0,17304.0
AccountsReceivable,7586.0,12001.0,17304.0
CashCashEquivalentsAndShortTermInvestments,1304588.0,1072528.0,1189277.0
CashAndCashEquivalents,1304588.0,1072528.0,1189277.0
CashFinancial,1304588.0,1072528.0,1189277.0
